category_name,product_title,original_price,discount_price,dicount_rate
스포츠/레저,반석스포츠 비스펙 치닝디핑 철봉 턱걸이 홈트,59800,59800,
스포츠/레저,[나이키 뉴발란스 아디다스 엠엘비 정품]빅볼청키 운동화 어글리슈즈 모음,55800,55800,
도서,15%추가쿠폰! 생생 만들기 3종 선택구매! 공룡시대/동물의 왕국/탈것나라,6000,6000,
도서,T맴15%할인+선물) 소마셈 P K A B C 단계 세트 수학연산 soma(개정판) / 유아 5세~초등3학년,47600,42840,
도서,[T멤버십+사은품] 2020 EBS 초등 기본서 만점왕 시리즈 1~6학년! 수학/국어/과학/사회/세트/단원평가,11500,10350,
남성의류,NII/크리스크리스티 봄 BEST 아우터/맨투맨/니트외 100종!,10000,10000,
남성의류,폴로 타미힐피거 캘빈클라인 갭 맨투맨/후드집업/후드티/가디건 패션 의류 모음전,12900,12900,
남성의류,[20%쿠폰]어커버 20s/s 신상 발매기념 특가! 후드/맨투맨/팬츠,42000,12900,
남성의류,추가25%[by파크랜드]보스트로/오스틴리드 봄 스타일 초이스/정장/자켓/셔츠/니트/팬츠,12900,12900,
식품,[대천김] 해의락 대천김 20g 10봉 직불에 두 번 구운 전장김 26일 단 하루만! 결제고객에 한해 사은품 증정,10900,7900,
식품,"[쿠폰가20,970원][본사직영]고려은단 골드플러스 150정",33000,27400,
식품,[호텔조리장 고동원 쉐프] 건강 보양식 사골도가니탕 600g*3개외/육개장/곰탕/갈비탕,14900,12700,
출산/유아,리틀스텔라 입점기념 최대 68%할인! 20년 S/S 봄신상 특가! 추가10%쿠폰까지 원피스/티셔츠/맨투맨/팬츠,21630,21630,
출산/유아,[워너비20%쿠폰+더스터1P]팸퍼스 베이비드라이 팬티/밴드 기저귀 1박스,59900,54900,
출산/유아,[02/26 단하루! 10+20%] 페넬로페 신학기에디션 피치베이지 캡형 외 특별전,18000,18000,
자동차/취미,[신학기15%쿠폰]삼익악기 신학기 준비물 교재악기 멜로디언/실로폰/리코더/리듬세트/오카리나,10000,10000,
자동차/취미,비앤티박스/최고의품질/착한가격/총알배송/당일퀵배송,35000,30690,
자동차/취미,[신학기잇템15%쿠폰][ALESIS] 알레시스 멜로디 61 MK II 포터블 키보드 Designed by U.S.A,119000,119000,
자동차/취미,[보쉬]10.8V 충전전동드릴 GSB 1080-2LI(1B)/콘크리트OK!/액세사리100P포함/GSB1080/GSB1080-2LI,131200,107570,
여행/티켓,[강원] 삼척 초곡 용굴촛대바위길+묵호(논골담길/어시장/묵호등대)+동해 해안선열차 당일여행 /서울경기出,28900,26900,
여행/티켓,|제주|메종글래드제주 삼다정 런치 뷔페+석부작박물관입장혜택+혜택몰빵,45000,41900,
여행/티켓,강원 휘닉스평창(국내숙박/휘닉스/스키/스키패키지/스키렌탈/렌탈패키지/스키시즌/평창휘닉스/휘닉스파크/스노우빌리지/블루캐니언/케이블카/곤도라/국내여행추천/휘팍/휘닉스콘도/휘닉스리조트),80000,74500,
여행/티켓,[강원] 속초 먹방투어(중앙시장+아바이마을)+강릉 커피거리 당일여행/안목해변/국내패키지/서울경기出,23500,21900,
패션잡화,[10%+20%쿠폰] 비비안 팬티스타킹10매 벌크 학생 압박 밴드 덧신 판타롱 기모 레깅스 타이즈 겨울 융,10000,9900,
패션잡화,[10%+20%+T멤22%] 가나양말 봄신상 양말 최대 20켤레 279원/ 남자 여자 학생 발목 덧신 페이크삭스 모음전,10000,10000,
패션잡화,[10%+20%+T멤22%]신상패션양말/골지/발목/페이크삭스/실리콘덧신,10000,10000,
패션잡화,[명품데이] 프라다/구찌 외 인기 명품 가방/지갑/슈즈 모음전,150000,150000,
가전,3M공식대리점 USF-C 직수형 언더씽크 정수기 본품,89000,89000,
