title,user,content
액션물이 아닌 중년들의 휴먼 드라마/미국판 족보 캐기,sain****,"한마디로~제목처럼 아줌마, 배불뚝이 중년 어벤저스들이 펼치는 전혀 감동적이지 않은 인간 휴먼 드라마다.이미 알바들이 '조아요'집중 등록으로 깔긴 했지만, 액션도 아니고 휴먼 드라마라고도 할수 없고, 과일도 아닌 채소도 아닌 마치 ..."
제목을 변경한 [어벤져스: 인피니티 워] ,gate****,"​[어벤져스: 인피니티 워] 2부작이 더 이상 파트 1과 파트 2라는 제목으로 불리지 않게 될 것이라고 합니다. [어벤져스: 인피니티 워 Part I]의 제목은 '파트 1'이 빠진 [어벤져스: 인피니티 워]가 되고, [어벤저스: 인피니티 워 파..."
Ongoing Issues: The Infinity Gauntlet & the Marvel Cinematic Universe (Spoilers),jm9e****,Ongoing Issues: The Infinity Gauntlet & the Marvel Cinematic Universe (Spoilers)https://youtu.be/FIiN-vNLd-E동영상Ongoing Issues: The Infinity Gauntlet & the Marvel Cinematic Universe (Sp...After seeing Guardians ...
"""마블"" ""어벤저스""에 놀아나는 대한민국",bund****," 엔드게임을 보고 얼마나 졸리고 지루했는지 터무니없는 거품 홍보에 속았다는 생각만 든다.영화가 시작하고 2시간 넘게 이어지는 지루함과 밋밋함은 이런 걸 보려고 그 난리를 치는 건지역시 ""마블""의 기가 막힌 상업적 흥행 전략은 대단..."
[IMAX 3D] 어벤져스 : 엔드게임,ddff****,　★★★★★★!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓 2019 / 04 / 24  (수) 10 :30 - 13 :41CGV 의정부 IMAX관 H 18조...
어벤져스 엔드게임 + 쿠키영상,kami****,어벤져스 엔드게임 + 쿠키영상영화는 그냥 최고입니다!! 요즘 볼 영화가 없어서 오랬만에 갔어요조조할인으로 보고왔는데사람들 북적거리는거 오랜만이었습니다.그리고 마블 SNS에서 소식이 왔습니다.죽은자와 산자아마 영웅들을 나눈거 ...
"어벤져스 엔드게임 나타샤,블랙위도우 소울스톤",extr****,<경고 : 아래 글은 ‘어벤져스 : 엔드게임’의 스포일러를 포함하고 있습니다. 스포일러를 원하지 않는 분은 영화 감상 후 글을 읽기 바랍니다.>어벤져스 멤버들은 서로 팀을 나눠서 과거로 스톤을 찾으러 간다.소울스톤은 블랙위도...
"'마블의 아버지' 스탠 리 별세, 향년 97세",c106****,"     스파이더맨, 헐크, 아이언맨, 데어데블, 엑스맨, 판타스틱 포, 닥터 스트레인지, 블랙 팬서 등 수많은 마블 캐릭터들을 (단독 혹은 공동으로) 창조한 '마블의 아버지' 스탠 리 마블 명예회장이 작고하셨다는 소식입니다.     1922년 ..."
"어벤져스: 엔드게임 (Avengers: Endgame, 2019)",kott****,아이언맨이 2008년부터 시작되었으니 여기까지 오기에 10년이 넘게 걸렸다. 3시간이 넘는 영화는 사실 이 스토리의 끝이라기 보다는 팬서비스를 위한 영화에 가깝다. 새로운 이야기 전개처럼 보이는 포장지를 걷어내면 이전 장면들의 재탕...
"아디오스, 내 영웅들!  : 영화 <어벤져스: 엔드게임> 후기 (스포有) ",siat****,"아디오스, 내 영웅들!  : 영화 <어벤져스: 엔드게임> 후기 (스포有) -영화 '어벤져스: 엔드게임' 줄거리/ 리뷰/ 스포/ 결말-장르 : 액션, 드라마, 판타지, SF감독 : 안소니 루소,                                               조..."
