dis_price,dis_rate,main_category_name,ori_price,sub_category_name,title
44900,0,도서/음반,44900,ALL,(세트/앨범3종) 아이즈원(IZONE) -  정규1집 BLOOMIZ
99000,45,도서/음반,99000,ALL,씨투엠에듀  지오플릭 교구 (가이드북포함)
72000,0,도서/음반,72000,ALL,2/21 {신나라제작특전4개} SET(앨범4종+포스터4종+지관통) 방탄소년단 (BTS) - Map Of The Soul : 7
23900,69,가구/침구,23900,ALL,[쁘리엘르]간절기 침구/순면 차렵 이불/패드세트/마이크로화이바
139000,29,가구/침구,139000,ALL,[한샘]샘키즈 수납장 1305/1005 총출동
19900,66,가구/침구,19900,ALL,하우슬립/올리비아데코 극세사 차렵이불 모음전
9900,70,가구/침구,9900,ALL,[르헤브]2+2 피톤치드 항균 베개솜/구름 베개솜/베개/베개커버
16900,0,여행,16900,ALL,포천 베어스타운 스키장 리프트권 오픈
29000,38,여행,29000,ALL,[한화리조트](문자)설악워터피아 하이시즌 이용권(12/14~20/3/1)/스파밸리/속초워터피아/속초/강원도/워터파크
31000,0,여행,31000,ALL,[비발디파크](카드즉시할인10%)강원 홍천 비발디파크 리프트권(문자발송)
31000,0,여행,31000,ALL,1920 하이원리조트 리프트권(~3.1)
8500,15,e쿠폰/티켓,8500,ALL,[커피빈]커피빈 모바일 1만원권  / 스마일페이
30000,0,e쿠폰/티켓,30000,ALL,(쿠우쿠우) 3만원권 + 8%캐시백
30600,10,e쿠폰/티켓,30600,ALL,[투썸플레이스](투썸플레이스) 스트로베리 초콜릿 생크림 1호
9650,3,e쿠폰/티켓,9650,ALL,[구글플레이](카드가능) 기프트코드 1만원 / 구글 기프트카드
15000,50,화장품/헤어,15000,ALL,[토니모리]신학기맞이 토니모리 토니데이 베스트~82%+커피쿠폰
32480,0,화장품/헤어,32480,ALL,[치노시오야]치노시오야 내추럴포어 클렌징 오일
19000,0,화장품/헤어,19000,ALL,3+1명품향 니치향수G
12900,0,유아동/출산,12900,ALL,[핑크공주]어린이 유아 매니큐어 3개 골라담기 여아 선물 세트
5900,69,유아동/출산,5900,ALL,[릴리푸리]여아 봄신상 오픈세일 티셔츠 치마 레깅스 원피스外
39110,20,유아동/출산,39110,ALL,[아디다스키즈](신세계본점)[아디다스키즈] 인펀트 트레이닝 상하세트 2종
23800,12,식품,23800,ALL,[제주삼다수]제주삼다수 2L 24병/생수전문배송
52900,16,식품,52900,ALL,경기미 추청 아끼바레 쌀 10kg+10kg 19년산 (박스포장)
20900,30,식품,20900,ALL,[진라면]진라면 순한맛 20봉+매운맛20봉
8900,59,패션의류,8900,ALL,[크리스크리스티]NII 2020 봄신규 맨투맨 외 단독특가 + 20% 추가할인
10900,69,패션의류,10900,ALL,[탑텐]탑텐/테이트 봄 이너외 ~90%
7900,69,패션의류,7900,ALL,시스터 봄신상 빅사이즈55~88원피스/롱티/팬츠/세트
9900,70,패션의류,9900,ALL,[다온샵]봄신상12% 청바지/밴딩/슬랙스/빅사이즈/스키니/일자
16900,0,스포츠/자동차,16900,ALL,3D입체 면 마스크 블랙2+화이트1개 검정 패션 연예인
15600,20,스포츠/자동차,15600,ALL,[네파][네파] 트리플팩 남여공용 라운드 티셔츠 7FG5300
14900,0,스포츠/자동차,14900,ALL,10매세트 순면 3D 입체마스크 면100% 10장세트 마스크
23240,17,스포츠/자동차,23240,ALL,COZYLON 항균+살균+미세먼지 황사마스크(한가족 세트)
20900,21,생활/주방/건강,20900,ALL,[릴리유]릴리유 퓨어핑크 아기물티슈 캡 72매 20팩 E
23900,0,생활/주방/건강,23900,ALL,[힐링팩토리]에어로 3D 마스크 블랙 에어가드 세척후 재사용
9900,23,생활/주방/건강,9900,ALL,[시크릿데이]베스트셀러 러브 생리대 외 전라인/오버나이트
10,0,신발/잡화,10,ALL,헤어고무줄 30P 머리끈 헤어끈  머리고무줄 헤어밴드
29700,10,신발/잡화,29700,ALL,플로쥬 소가죽 보니슬립온
